company_id,company_name,sector,revenue_usd_mn,carbon_emissions_tCO2,emission_intensity_tCO2_per_mn_usd,energy_mix_renewable_pct,fines_count,fines_amount_usd_k,public_sentiment_score,esg_score_reported,gri_compliance_pct,waste_generated_tons,waste_recycled_pct
CMP100077,Yu Inc,Transport,114.23,10967.06,96.0086,22.3,1,17.99,0.902,63.8,51.23,7581.38,37.06
CMP100078,Jones Inc,Finance,747.882,1582.84,2.907,27.2,0,0,0.816,61.8,65.18,7055.42,35.71
CMP100079,"Hensley, Powell and David",Manufacturing,9.925,660.6814999999999,59.4797,0.79,2,18.68,0.979,53.07,47.83,840,32.89
CMP100080,"Sanchez, Wheeler and Harvey",Energy,29.473,660.6814999999999,154.1451,22.3,1,5.3,0.956,62.27,54.02,4050.44,36.28
CMP100081,Sandoval-Cunningham,Energy,666.498,31913.413,69.0298,30.64,3,26.47,0.845,73.89,95.79,83924.3,37.71
CMP100082,Donovan-Harris,Tech,63.574,168.173,6.2989,58,0,0,0.966,75.83,52.51,1185.48,49.84
CMP100083,"Edwards, Baker and Anderson",Transport,98.395,12279.352,131.9626,5.43,5,83.92,0.511,52.46,48.18,6497.4,39.7
CMP100084,"Evans, Stewart and Walton",Finance,111.077,151.828,2.932,53.38,2,23.9,0.99,82.76,68.85,1026.79,41.38
CMP100085,Smith PLC,Manufacturing,54.702,2638.426,56.6143,14.8,1,7.41,0.969,65.62,56.29,5087.69,32.28
CMP100086,"Ferrell, Jones and Lewis",Finance,22.889,660.6814999999999,3.7182,37.63,2,71.56,0.963,79.28,67.69,249.91,42.49
CMP100087,Anderson-Bailey,Energy,81.637,5121.202,99.1374,22.3,0,0,0.99,81.5,55.89,10335.47,37.31
CMP100088,Suarez LLC,Retail,28.297,502.142,17.7455,0,1,21.76,0.919,55.33,31.55,1633.99,29.6
CMP100089,Moore-Bass,Retail,57.77,556.494,13.1838,26.93,2,10.37,0.949,74.49,67.24,2856.4,48.89
CMP100090,"Turner, Riggs and Roman",Tech,97.268,367.779,6.5783,22.3,0,0,0.971,67.7,58.78,1649.35,35.33
CMP100091,"Smith, Montoya and Evans",Retail,45.769,668.706,17.6539,17.24,3,45.66,0.911,74.35,75.63,2483.65,34.58
CMP100092,"Garcia, Humphrey and Baker",Energy,5.981,305.428,75.3969,32.27,0,0,0.867,73.59,43.01,792.59,28.16
CMP100093,Newton and Sons,Finance,28.709,60.888,2.6801,20.87,7,261.05,0.506,65.59,58.78,294.13,32.28
CMP100094,Campbell-Clark,Energy,25.402,2394.969,126.2515,22.3,0,0,0.945,64.79,56.09,3378.63,35.51
CMP100095,Harris-Walters,Manufacturing,99.8,5119.16,61.5265,16.63,1,5.62,0.987,71.55,59.81,9955.23,44.26
CMP100096,Wagner-King,Energy,76.544,7899.938,146.8558,29.72,2,27.89,0.946,71.98,63.61,9268.8,36.08
CMP100097,Davis Group,Tech,250.329,1736.956,11.4644,39.48,1,21.65,0.964,63.63,60.49,4861.47,41.11
CMP100098,Williams-Cook,Finance,32.162,63.333,5.0116,60.71,0,0,0.97,85.69,57.37,260.57,43.53
CMP100099,Walsh LLC,Energy,22.111,660.6814999999999,117.2472,29.22,4,48.87,0.959,67.7,75.97,2237.16,46.98
CMP100100,Figueroa PLC,Manufacturing,120.834,6275.488,57.4106,9.54,2,35.76,0.971,56.72,61.81,9818.63,46.9
CMP100101,"Patterson, Smith and Jones",Tech,18.698,81.153,11.3199,22.3,0,0,0.956,67.7,35.52,394.36,28.91
CMP100102,"Mckee, Gardner and Davenport",Transport,27.438,896.521,39.7254,17.75,1,9.35,0.976,67.9,58.78,2032.04,32.86
CMP100103,"Tran, Jordan and Williams",Energy,18.892,1587.208,118.5924,29.16,0,0,0.893,67.7,30.24,2274.81,37.1
CMP100104,Nolan-Flynn,Retail,67.042,643.944,12.2174,21.38,2,4.01,0.96,75.91,80.97,3898.58,43.88
CMP100105,Nolan and Sons,Transport,24.268,2088.294,88.389,2.64,2,14.24,0.845,51.24,49.09,1746.75,39.58
CMP100106,"Wright, Garcia and Deleon",Energy,259.539,18012.024,105.5716,34.26,1,1,0.668,67.56,40.54,30028.24,37.88
CMP100107,Dickson-Brady,Transport,125.188,12992.975,103.7874,0,1,2.58,0.913,65.86,40.64,11038.78,26.33
CMP100108,Hancock and Sons,Manufacturing,29.271,1851.357,70.027,9.68,2,8.81,0.959,64.83,58.78,2609.57,36.65
CMP100109,Johnson-Doyle,Energy,47.616,4725.587,118.0758,15.95,5,51.33,0.925,57.07,74.22,4747.08,43.58
CMP100110,Patton-Jenkins,Energy,85.446,5170.495,75.9276,20.3,2,6.01,0.988,82.19,75.69,9391.2,43.3
CMP100111,"Shields, Cochran and Adams",Energy,15.383,2366.157,169.2605,9.12,2,40.57,0.892,63.46,54.54,1595.81,35.27
CMP100112,"Rodriguez, Brennan and Garrison",Manufacturing,4.68,97.757,23.7532,12.05,3,13.01,0.932,70.89,50.76,548.44,37.9
CMP100113,Gonzalez Group,Tech,13.4,660.6814999999999,4.6141,41.63,0,0,0.925,78.86,81.22,301.03,50.42
CMP100114,Torres-Pope,Retail,14.01,94.721,11.0301,38.7,2,15.74,0.945,75.82,79.72,737.88,50.59
CMP100115,Walker Ltd,Transport,16.531,1567.466,100.6191,5.76,3,25.48,0.947,52.07,59.8,1518.98,36.36
CMP100116,Ross LLC,Energy,81.174,9755.765,144.087,16.59,2,8.44,0.826,70.47,44.11,10924.09,31.3
CMP100117,Rasmussen LLC,Tech,30.075,67.718,5.3763,58.12,0,0,0.932,78.99,62.74,526.09,44.91
CMP100118,May-Ross,Finance,29.787,28.361,2.7968,65.96,0,0,0.995,99.03,91.03,344.64,57.43
CMP100119,"Rivera, Johnson and Wiley",Manufacturing,40.567,2545.6,72.1431,13.02,2,3.99,0.975,57.95,72.64,4120.54,33.05
CMP100120,White-Estes,Retail,15.702,212.066,18.8665,22.3,2,16.47,0.99,67.7,79.78,881.65,42.26
CMP100121,Johnson-Carlson,Transport,93.891,660.6814999999999,119.5022,22.3,1,14.8,0.942,58.81,68.74,8701.34,36.24
CMP100122,Chandler-Edwards,Transport,17.449,1599.111,91.6424,0,3,48.36,0.895,56.31,58.78,1294.3,31.9
CMP100123,"Joyce, Wilson and Lam",Manufacturing,14.608,539.807,36.9532,0,1,2.25,0.942,62.87,41.74,1232.95,34.74
CMP100124,Scott Ltd,Transport,3.026,81.27,33.4116,19.62,3,22.8,0.94,66.84,47.3,215.74,34.34
CMP100125,Smith-Frost,Finance,77.845,141.903,2.8681,36.44,1,102.43,0.941,79.99,56.83,755.75,38.89
CMP100126,"Mcdaniel, Bentley and Mclaughlin",Finance,35.445,71.469,3.4383,22.3,1,12.02,0.889,73.88,52.45,399.54,28.15
CMP100127,Diaz Inc,Transport,4.537,419.689,115.7397,20.08,0,0,0.959,55.57,58.78,415.33,39.5
CMP100128,"Mccall, Hanson and Alvarado",Energy,7.561,572.463,96.9069,21.88,3,12.66,0.91,57.65,47.76,728.38,37.16
CMP100129,Cortez LLC,Transport,9.462,803.637,87.1086,2.49,1,19.87,0.974,61.17,69.11,760.21,45.14
CMP100130,"Parker, Ortiz and Powell",Transport,16.766,2018.95,120.8124,0.33,2,10.07,0.875,55.84,27.14,1296.97,23.96
CMP100131,Spencer-Lee,Finance,10.045,11.72,1.7849,22.3,1,58.01,0.978,70.95,45.96,100,34.75
CMP100132,"Bentley, Byrd and Orr",Tech,6.384,51.943,10.9423,25.64,3,17.98,0.968,67.7,51.17,108.27,36.61
CMP100133,"Carroll, Sullivan and Bass",Manufacturing,87.419,5144.103,59.7248,1.47,2,54.87,0.916,64.3,48.73,8174.08,37.93
CMP100134,Mitchell-Jordan,Finance,122.938,97.872,1.3703,41.9,5,44.49,0.883,67.64,85.42,1447.18,44.99
CMP100135,"Lawson, Morris and Ramos",Retail,40.806,370.058,11.7698,22.95,0,0,0.961,74.44,58.77,1896.01,37.74
CMP100136,"Lewis, Kennedy and Santana",Retail,189.946,1974.467,17.7968,41.59,1,13.38,0.963,78.47,74.99,9568.68,46.36
CMP100137,"Jackson, Miller and Robertson",Tech,2.463,7.441,6.9771,56.69,2,6.91,0.958,85.89,54.49,100,43.17
CMP100138,"Harvey, Davis and Crane",Manufacturing,7.466,660.6814999999999,40.5966,22.3,0,0,0.975,66.8,73.78,705.87,36.98
CMP100139,Chambers and Sons,Finance,29.57,82.222,4.2111,33.97,0,0,0.988,80.65,58.78,351.5,39.52
CMP100140,Hernandez Inc,Finance,73.113,127.232,3.6423,52.22,1,3.14,0.984,76.15,73.98,866.37,50.61
CMP100141,Riggs PLC,Tech,155.334,795.168,8.5213,39.93,2,3.64,0.973,67.7,83.92,2798.23,39.64
CMP100142,Gibson Ltd,Manufacturing,48.182,2972.975,71.6075,13.83,3,68.09,0.948,55.92,51.22,4812.9,33.67
CMP100143,"Lee, Horton and Snyder",Transport,4.312,427.23,127.8246,22.49,0,0,0.901,66.96,36.11,317.48,28.22
CMP100144,Hernandez Ltd,Transport,17.37,1690.427,106.5209,8.64,0,0,0.973,68.02,91.14,1270.01,45.93
CMP100145,Stafford Inc,Tech,12.406,52.301,7.6596,44.96,3,14.09,0.881,72.86,50.86,202.16,31.55
CMP100146,Robinson-Brock,Manufacturing,16.458,660.6814999999999,69.2651,7.95,2,29.71,0.966,74.4,52.23,1717.93,29.24
CMP100147,"Holmes, Williams and Wright",Transport,91.846,7606.058,98.0138,15.51,0,0,0.994,76.55,66.97,7355.55,38.38
CMP100148,Bryant Group,Tech,48.803,195.826,7.0679,43.23,2,3,0.937,85.86,64.41,800.95,49.36
CMP100149,"Schmidt, Hansen and Stewart",Retail,37.333,387.326,13.2588,21.75,2,10.45,0.769,60.04,58.78,1701.37,35.78
CMP100150,Salazar-Ball,Energy,17.614,1629.21,123.0493,24.83,1,2.38,0.974,67.13,63.64,2458.86,34.92
CMP100151,"Simmons, Meadows and Griffin",Manufacturing,59.432,2894.051,58.4328,16.66,1,77.91,0.82,66.17,44.1,5324.07,41.56
CMP100152,Manning Group,Finance,4.768,6.95,2.8572,48.98,2,6.57,0.976,80.55,65.16,100,35.59
CMP100153,Green-Wright,Transport,64.173,4194.013,65.3547,0,2,11.89,0.843,64.29,48.15,5112.18,18.64
CMP100154,"Ramirez, Strickland and Washington",Transport,26.59,1575.222,75.4658,21.5,0,0,0.909,67.07,58.78,2540.43,38.26
CMP100155,Hill Inc,Finance,10.29,29.9,4.8848,40.51,2,21.61,0.971,66.92,46.96,100,34.98
CMP100156,"Mitchell, Nelson and Flores",Retail,2.352,31.576,14.5233,7.55,1,3.07,0.847,58.85,49.16,125.7,26.24
CMP100157,"Miller, Hernandez and Reyes",Energy,82.969,5350.701,83.4266,22.7,2,16.62,0.836,62.53,54.06,10998.18,38.89
CMP100158,Mccarthy Inc,Retail,11.808,660.6814999999999,14.9659,33.71,0,0,0.939,78.82,49.65,528.44,37.89
CMP100159,Russell-Daniels,Finance,137.671,187.155,4.0072,66.07,0,0,0.988,89.29,64.35,1502.39,43.26
CMP100160,Brown-Wall,Manufacturing,46.674,660.6814999999999,40.081,4.85,3,65.48,0.883,57.11,45.09,4420.56,23.59
CMP100161,Stein-Silva,Tech,20.695,153.557,11.2308,33.93,2,10.71,0.968,81.28,62.03,435.8,43.55
CMP100162,"Smith, Gilmore and Johnston",Retail,18.414,162.388,11.5383,23.57,2,24.46,0.912,65.74,56.06,969.88,39.18
CMP100163,Smith-Bell,Finance,61.356,146.787,3.8068,37.15,2,24.1,0.938,80.9,68.95,622.34,40.72
CMP100164,Castaneda-Ashley,Transport,125.023,4957.548,41.1149,3.56,1,17.24,0.928,58.72,43.39,8362.7,38.62
CMP100165,Medina-Navarro,Transport,19.643,1594.746,94.4094,14.01,1,10.14,0.971,62.95,68.93,1782.2,31.24
CMP100166,"Hurst, Freeman and Nelson",Transport,20.98,1801.982,87.3029,1.62,0,0,0.93,55.58,25.14,1558.08,17.72
CMP100167,Johnson-Rogers,Energy,55.367,5228.64,147.0741,35.79,0,0,0.965,68.06,62.75,5810.93,36.25
CMP100168,"Yates, Ramsey and Pittman",Finance,12.556,46.26,5.0066,26.41,1,6.79,0.95,71.72,52.8,102.5,35.61
CMP100169,Hooper PLC,Energy,10.135,1331.662,162.9651,19.38,2,11.26,0.921,59.58,68.66,1260.42,38.82
CMP100170,Meadows PLC,Energy,517.526,44571.881,116.8341,26.28,1,6.15,0.938,53.34,57.21,66514.04,35.49
CMP100171,"Alvarado, Miller and Patterson",Finance,652.859,2164.228,4.5141,26.56,0,0,0.967,75.75,65.09,5266.19,40.09
CMP100172,White-Green,Finance,58.92,72.734,3.8302,67.77,0,0,0.983,85.7,80.31,592.05,43.36
CMP100173,Lewis-Murphy,Energy,30.665,660.6814999999999,164.417,17.92,2,145.39999999999998,0.936,61.93,39.19,3277.22,38.64
CMP100174,Ramirez-Bean,Transport,39.403,2918.322,74.0635,0,2,20.82,0.844,50.88,58.78,3335.29,31.35
CMP100175,King-Miller,Manufacturing,129.202,11177.694,86.7312,0.25,4,10.19,0.855,51.11,56.87,11237.3,37.01
CMP100176,Curry Inc,Tech,8.394,35.76,7.9335,46.3,0,0,0.959,85.58,58.78,180.7,42.73
CMP100177,Walker-Jones,Energy,27.05,660.6814999999999,111.1207,17.23,0,0,0.914,68.82,73.66,3098.94,40.46
CMP100178,"Williams, Johnson and Wright",Tech,458.972,2391.1,7.282,28.46,1,9.32,0.972,71.45,57.3,10783.01,40
CMP100179,Howell and Sons,Manufacturing,24.437,1112.708,45.5339,0,0,0,0.96,73.51,69.65,2089.38,36.17
CMP100180,Wells Inc,Transport,11.721,1001.913,92.4111,7.5,3,73.35,0.81,55.49,36.28,878.07,31.97
CMP100181,"Gould, Marshall and Scott",Tech,8.866,23.11,4.3924,40.66,1,5.18,0.977,78.97,58.78,149.9,46.53
CMP100182,Jackson-Lawson,Retail,11.77,101.799,10.9678,21.14,0,0,0.91,72.72,58.18,688.47,36.85
CMP100183,"Higgins, Strickland and Martin",Finance,25.458,32.882,2.5695,49.73,0,0,0.897,78.8,67.37,293.01,46.97
CMP100184,Rodriguez-Johnson,Retail,48.876,715.493,17.3665,15.71,2,7.68,0.914,74.64,53.43,2207.18,33.38
CMP100185,Johnston-Odonnell,Finance,790.932,2444.459,3.722,16.96,2,23.59,0.888,68.22,51.36,8415.47,40.86
CMP100186,Sanders-Espinoza,Transport,33.87,2801.05,94.8873,12.84,1,5.22,0.904,66.04,58.78,3053.42,30.94
CMP100187,Vargas Ltd,Tech,2.553,4.478,10.1121,82.65,1,9.24,0.995,100,90.88,100,63.71
CMP100188,Garcia LLC,Energy,6.287,385.01,96.5319,36.56,0,0,0.995,69.83,75.46,763.39,42.2
CMP100189,"Burke, Martinez and Riggs",Finance,130.904,253.912,2.7174,28.62,1,3.73,0.974,67.7,53.41,1173.87,29.25
CMP100190,Reed Group,Finance,57.978,130.548,3.8055,40.83,0,0,0.994,80.24,89.43,485.42,46.69
CMP100191,"Wood, Hunter and Peterson",Transport,58.229,6677.546,114.677,0,1,48.45,0.838,55.5,39.26,5398.46,24.45
CMP100192,Short-Garcia,Transport,4.811,349.74,72.6943,0,4,11.55,0.715,49.89,26.89,446.53,29.58
CMP100193,Reid-Poole,Finance,20.333,47.881,2.886,18.41,4,52.98,0.85,82.23,63.74,214.16,33.17
CMP100194,"Hernandez, Thompson and Boyd",Finance,43.987,53.166,2.4888,51.44,1,7.89,0.962,75.31,43.07,411.55,36.67
CMP100195,"Nelson, Morton and Medina",Tech,15.055,660.6814999999999,9.4136,26.54,3,56.2,0.941,71.6,67.81,282.94,29.42
CMP100196,Marshall-Petersen,Energy,18.7,7712.894999999999,127.8768,35.49,2,358.6,0.991,67.7,63.21,2446.82,37.48
CMP100197,"Adams, Christian and Rivas",Manufacturing,20.139,1126.212,57.4724,2.7,1,9.02,0.928,62.54,57.04,2333.8,19.83
CMP100198,Ramirez Group,Tech,19.575,92.02,8.8159,46.68,1,6.52,0.856,73.47,47.05,452.12,30.83
CMP100199,Christensen PLC,Retail,23.484,122.951,6.8823,23.93,3,84.54,0.98,77.68,76.81,1305.65,43.95
CMP100200,"Barnett, Rogers and Snyder",Retail,11.663,81.737,10.5397,33.51,1,38.19,0.948,77.16,58.78,616.28,42.39
CMP100201,White-Lewis,Transport,43.634,3259.616,96.7135,22.76,2,7.83,0.965,66.72,61.75,2910.06,39.03
CMP100202,Peterson-Beard,Retail,32.359,405.885,15.0842,16.85,2,25.54,0.95,77.02,58.55,1398.96,30.25
CMP100203,"Beard, Peters and Black",Transport,3.437,405.54,117.9912,0,2,6.49,0.982,67.18,58.78,318.79,31.52
CMP100204,Miller Ltd,Tech,74.015,119.804,3.453,22.3,0,0,0.97,73.33,69.7,1543.32,38.38
CMP100205,Freeman-Chang,Manufacturing,39.723,2238.167,62.817,10.31,4,6,0.85,72.65,65.65,3192.45,29.4
CMP100206,"Alvarez, Joseph and West",Finance,60.212,150.882,4.883,48.68,0,0,0.982,67.7,79.05,506.14,53.06
CMP100207,Davis and Sons,Energy,126.143,660.6814999999999,119.8553,38.37,0,0,0.984,67.7,63.84,16127.14,44.83
CMP100208,Holt-Torres,Finance,72.645,170.877,3.7465,37.22,0,0,0.987,76.44,99.22,582.63,46.18
CMP100209,"Wood, Tran and Cooper",Finance,19.785,24.09,2.1016,42.06,1,11.73,0.979,67.7,69.67,171.01,42.48
CMP100210,"Pierce, Bell and Chavez",Finance,54.011,407.835,2.5747,41.35,3,209.4,0.98,84.58,71.13,550.64,43.54
CMP100211,King-Martinez,Retail,7.385,660.6814999999999,18.3087,27.25,1,4.7,0.991,67.7,54.35,397.59,26.11
